nse_symbol,security_name,yahoo_ticker
SSLT,Sesa Sterlite Ltd.,SSLT.NS
SSLT,Vedanta Ltd.,SSLT.NS
STER,STER,STER.NS
STER,Sterlite Industries (India) Ltd.,STER.NS
SUNPHARMA,SUNPHARMA,SUNPHARMA.NS
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS
SUZLON,Suzlon Energy Ltd.,SUZLON.NS
TATAMOTORS,TATAMOTORS,TATAMOTORS.NS
TATAMOTORS,Tata Motors Ltd.,TATAMOTORS.NS
TATAMTRDVR,Tata Motors Ltd DVR,TATAMTRDVR.NS
TATAPOWER,TATAPOWER,TATAPOWER.NS
TATAPOWER,Tata Power Co. Ltd.,TATAPOWER.NS
TATASTEEL,TATASTEEL,TATASTEEL.NS
TATASTEEL,Tata Steel Ltd.,TATASTEEL.NS
TCS,TCS,TCS.NS
TCS,Tata Consultancy Services Ltd.,TCS.NS
TECHM,Tech Mahindra Ltd.,TECHM.NS
TITAN,Titan Company Ltd.,TITAN.NS
ULTRACEMCO,UltraTech Cement Ltd.,ULTRACEMCO.NS
UNITECH,Unitech Ltd.,UNITECH.NS
UPL,UPL Ltd.,UPL.NS
VEDL,Vedanta Ltd.,VEDL.NS
WIPRO,WIPRO,WIPRO.NS
WIPRO,Wipro Ltd.,WIPRO.NS
YESBANK,Yes Bank Ltd.,YESBANK.NS
ZEEL,Zee Entertainment Enterprises Ltd.,ZEEL.NS
