nse_symbol,security_names,first_snapshot,last_snapshot,snapshot_count,original_yahoo_ticker,original_yahoo_status,resolved_ticker,resolution_status,notes,resolved_download_status,resolved_price_rows
NMDC,NMDC Ltd.,2013-04-30,2015-08-31,29,NMDC.NS,ok,NMDC.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
NTPC,NTPC Ltd. | NTPC,2010-01-31,2019-12-31,119,NTPC.NS,ok,NTPC.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
ONGC,Oil & Natural Gas Corporation Ltd. | ONGC,2010-01-31,2019-12-31,119,ONGC.NS,ok,ONGC.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
PNB,Punjab National Bank | PNB,2010-01-31,2016-03-31,75,PNB.NS,ok,PNB.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
POWERGRID,Power Grid Corporation of India Ltd. | POWERGRID,2010-01-31,2019-12-31,119,POWERGRID.NS,ok,POWERGRID.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
RCOM,Reliance Communications Ltd. | RCOM,2010-01-31,2012-03-31,27,RCOM.NS,ok,RCOM.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
RELCAPITAL,Reliance Capital Ltd. | RELCAPITAL,2010-01-31,2011-09-30,21,RELCAPITAL.NS,ok,RELCAPITAL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
RELIANCE,Reliance Industries Ltd. | RELIANCE,2010-01-31,2019-12-31,119,RELIANCE.NS,ok,RELIANCE.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
RELINFRA,Reliance Infrastructure Ltd. | RELINFRA,2010-01-31,2013-08-31,44,RELINFRA.NS,ok,RELINFRA.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
RPOWER,Reliance Power Ltd. | RPOWER,2010-01-31,2012-03-31,27,RPOWER.NS,ok,RPOWER.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
SAIL,Steel Authority of India Ltd | Steel Authority of India Ltd. | SAIL,2010-01-31,2012-08-31,32,SAIL.NS,ok,SAIL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
SBIN,State Bank of India | SBIN,2010-01-31,2019-12-31,119,SBIN.NS,ok,SBIN.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
SIEMENS,Siemens Ltd. | SIEMENS,2010-01-31,2013-03-31,39,SIEMENS.NS,ok,SIEMENS.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
