asset_id,count,corr,mae,rmse,qlike,resid_mean,resid_std,sq_lag1_corr
POWERGRID,347,-0.05007395165969297,0.002962716863160518,0.003926989652533005,-7.503555278269904,0.003283653643953303,0.9260840227984021,0.05371315292347574
RANBAXY,0,,,,,,,
RCOM,0,,,,,,,
RELCAPITAL,0,,,,,,,
RELIANCE,347,0.5760695917622497,0.003309742842803599,0.004044021118528952,-7.085792687340778,0.09352242738590606,0.9977952195370129,0.02668156314291899
RELINFRA,0,,,,,,,
RPOWER,0,,,,,,,
SAIL,0,,,,,,,
SBIN,347,0.6712500237279599,0.0042007350301107,0.005279072877866418,-6.743256472904575,0.03052953372373295,1.0961740345423856,0.0313666491664977
SESAGOA,0,,,,,,,
SIEMENS,0,,,,,,,
SSLT,0,,,,,,,
STER,0,,,,,,,
SUNPHARMA,347,0.09741102708961298,0.005055271362837522,0.006580680356324472,-6.562059043656681,-0.05250238001986137,1.1696135743363967,0.13271225682470592
SUZLON,0,,,,,,,
TATAMOTORS,0,,,,,,,
TATAMTRDVR,0,,,,,,,
TATAPOWER,0,,,,,,,
TATASTEEL,347,0.3050274291444333,0.004421833907965281,0.005380126508598983,-6.49776778423154,-0.04555091926834836,1.141674989316148,-0.018752472008123057
TCS,347,0.14888757781985912,0.0031177209306411683,0.0038873887200510885,-7.374435165414484,0.015823261720090222,0.9856311650803662,0.03824402667144651
TECHM,347,0.42332150100042026,0.0032408024863439266,0.003998821235250146,-7.2180336977140485,0.009652048844994566,1.0627231402098187,0.06314379862726335
TITAN,288,0.18827323420021308,0.00541422422166862,0.007077591578538888,-6.877198226088673,0.05766515742208975,1.1225830702600184,-0.005525162828900082
ULTRACEMCO,347,0.5558267204056524,0.002907948544307985,0.0037521282313919425,-7.027259145829154,0.006898174465428784,1.0271198584382801,0.08186949360569815
UNITECH,0,,,,,,,
UPL,347,0.2697172890119842,0.005583062203015907,0.007671257070183915,-6.557568341713751,0.03462976077544451,1.1453181847495586,0.08325990370896859
VEDL,347,0.2028344180490698,0.005287634702640927,0.008794241644019015,-6.077111205439717,-0.08373474397864707,1.2979975602824791,-0.013731767465450684
WIPRO,347,0.2020091809922407,0.0032279785368215796,0.00393255155772294,-7.493580096503057,0.020882040226939062,0.9626300883407397,0.1752464988657953
YESBANK,347,0.26977369954017305,0.024134954086019084,0.032792992505713194,-2.745496630337712,-0.1936971644793299,1.958683224241674,-0.011564578874930821
ZEEL,347,0.2060412468431299,0.012588614742848647,0.020437516579905224,-4.589025372003633,-0.13944118738601835,1.6228346228017732,0.04291164331588561
